sensor_name,timestamp,x,y,z
LSM6DS3,1501940,0.43,0.12,0.43
LSM6DS3,1506951,0.49,0.31,0.31
LSM6DS3,1511963,0.49,0.31,0.31
LSM6DS3,1516973,0.49,0.18,0.43
LSM6DS3,1521983,0.55,0.31,0.43
LSM6DS3,1526995,0.55,0.18,0.43
LSM6DS3,1532005,0.55,0.18,0.37
LSM6DS3,1537015,0.61,0.18,0.43
LSM6DS3,1542026,0.61,0.06,0.37
LSM6DS3,1547036,0.55,0.24,0.37
LSM6DS3,1552050,0.55,0.24,0.37
LSM6DS3,1557063,0.55,0.24,0.37
